,favorite_count,full_text,hashtags,retweet_count,year,party_id
100315,12,"b'\xf0\x9f\x9a\xa8REMINDER\xf0\x9f\x9a\xa8: The deadline to apply for a #PaycheckProtectionProgram loan is THIS SATURDAY, August 8.\n\nEl Paso small businesses can learn more and apply \xf0\x9f\x91\x87\xf0\x9f\x8f\xbd\n\nhttps://t.co/1XthC6WxY1'",PaycheckProtectionProgram,15,2020.0,D
66493,9,b'Expansion of the MS Veterans Memorial Cemetery in Newton will provide more space to honor our #veterans. Pleased my staff joined @MSVetAffairs @DeptVetAffairs &amp; local officials for the groundbreaking ceremony to launch this worthy project.',veterans,4,,R
56151,4,"b'Open enrollment ends today! Even if you have insurance, visit https://t.co/aJTTn8L7j8 and review health coverage options so you have the plan that works best for you. #GetCovered'",GetCovered,4,2017.0,D
63614,0,b'The # of unemployed persons in the US increased by 110K in May (http://t.co/YED0x5Flzu). This far out in a recovery we MUST do better #4jobs',4jobs,0,2013.0,R
554080,50,b'Please continue to keep my good friend @stevescalise in your prayers. #ScaliseStrong',ScaliseStrong,12,2017.0,R
583638,19,"b""\xf0\x9f\x9a\xa8 \xf0\x9f\x9a\xa8 \xf0\x9f\x9a\xa8  My legislation to #ProtectChaco passed the @NRDems today. \n\nWe've got the momentum to forever protect this sacred land from oil and gas drilling.  \xf0\x9f\x9a\xa8 \xf0\x9f\x9a\xa8 \xf0\x9f\x9a\xa8 https://t.co/xO7kn4QrVD""",ProtectChaco,5,2019.0,D
462808,718,"b'#HR1 makes sure billionaires can\xe2\x80\x99t buy our elections anymore. If that worries @senatemajldr, maybe the bill isn\xe2\x80\x99t the problem. https://t.co/WrkVpXR3ew'",HR1,297,2019.0,D
461294,315,b'Congress must pass the #NOBANAct today to end the Muslim &amp; African Ban.\n\nPass it on. https://t.co/9lG4PbWXuS',NOBANAct,95,2020.0,D
390601,5,"b""Proud to see my #HEALTTHAct get unanimous approval from @WaysandMeansGOP today. Here's where it goes next &gt;&gt;&gt; https://t.co/pbeiqXjIiI""",HEALTTHAct,1,2016.0,R
461576,11,b'Had a great time today with the seniors at Body &amp; Soul Health and Wellness Senior Center in @SharpsburgBoro. I look forward to coming back to play some cards with you all. #PA17 https://t.co/HsjH5xR30K',PA17,1,2019.0,D
363462,0,"b""http://twitpic.com/3n9y1u - Paul, Mike, Van, and Chris gearing up for Bill's Swearing In. #mapoli""",mapoli,1,2011.0,D
117150,5,"b'FACT; the #TrumpFakeEmergency will steal $90,000,000 from crucial military construction projects in Ohio.   \nhttps://t.co/Xfx1kOrFfk'",TrumpFakeEmergency,1,2019.0,D
351736,0,"b""Happy birthday, @facebook!  If you don't already, click here to follow me on #Facebook--&gt; https://t.co/P4CIN7CBiK  #NH01 #nhpolitics""",Facebook NH01 nhpolitics,1,2015.0,R
191961,75,"b'Today, we honor the heroic men and women who have served to defend our freedoms and liberties. Thank you for your service and sacrifice. We are forever grateful. #VeteransDay https://t.co/F0FTorLrq5'",VeteransDay,11,2017.0,R
576694,3,b'Two young(er) #ChildrensHospitals #CO lobbyists gave me their pitch for #ACEKidsNow. They knocked me out of the park. http://t.co/jOmzMQBoBN',ChildrensHospitals CO ACEKidsNow,1,2015.0,D
273621,4,b'I\xe2\x80\x99m going live on Facebook with child care providers in #PBC to discuss the business of providing quality child care. Tune in now! https://t.co/2US8mvwa1W',PBC,3,2018.0,D
450227,0,"b""#Berthoud hydropower plant shows how #COenergy is a model for achieving nat'l #energy independence. http://t.co/uVbn3KATba""",Berthoud COenergy energy,2,2013.0,D
467444,226,"b""I'm joining #HouseRepublicans to replace Obamacare--quality care is the priority https://t.co/H7TcxPlB9j #utpol https://t.co/0VGhd8JVX5""",HouseRepublicans utpol,96,2016.0,R
200512,15,b'We wore blue to show our support for #ColonCancerAwarenessMonth #DressInBlueDay https://t.co/hviSfEG5Dn',ColonCancerAwarenessMonth DressInBlueDay,9,2016.0,D
189344,9,b'Let\xe2\x80\x99s work together on this but don\xe2\x80\x99t make excuses to hold up the relief. #PassReliefNow \n#StopHoldingReliefHostage',PassReliefNow StopHoldingReliefHostage,3,2020.0,R
139120,11,"b'\xe2\x80\x9cCreating a one-stop-shop for the credit report, personal information, and social security number of every individual would be disastrous in the event of a cyber hack or data breach."" Watch my speech on H.R. 5332 here, #VA05: https://t.co/mbQZbEEvjT'",VA05,6,2020.0,R
253365,6,"b""Today\xe2\x80\x99s discussion on the #NWIRP will inform our continued work to reauthorize a program that engages stakeholders. It's critical for us to continue evaluating and reauthorizing existing programs that have a successful track record of benefitting our constituents. https://t.co/7b0ADITB0W""",NWIRP,2,2019.0,D
531614,18,"b""Happy Mother's Day! As we celebrate moms, let's also fight for their justice, equal rights and pay, and great opportunities. #MothersDay""",MothersDay,13,2016.0,D
408738,12,"b'The #PaycheckProtectionProgram has been a lifeline for Missouri small businesses to keep employees on the payroll during the coronavirus pandemic. Now that #USMCA is in effect, these businesses have more opportunities to grow and compete in a global economy. https://t.co/lhe7yDvAX8'",PaycheckProtectionProgram USMCA,6,2020.0,R
189831,0,"b""RT @RepSwalwell: #FlashbackFriday to 1971, when 18 y/os got the right to vote. Young people have shaped the nation since. Let's keep that g\xe2\x80\xa6""",FlashbackFriday,374,2016.0,D
445870,44,"b'The #Trump Administration has consistently targeted #transgender Americans, denying their basic rights and dignity. I will work with colleagues to oppose this latest move. We must not let them push this community back into the shadows. https://t.co/Lueb9tu32O'",Trump transgender,15,2018.0,D
511707,555,"b'Make no mistake, the #GOPTaxScam is a Trojan Horse for Republicans to take an axe to public assistance, Medicare and Social Security. We can\xe2\x80\x99t let them get away with this blatant theft from working families.\n\nhttps://t.co/SzaMt9ogBF'",GOPTaxScam,419,2017.0,D
509715,11,b'#CensusDay is today. It\xe2\x80\x99s important that every American is counted. Take just 10 minutes out of your day to count yourself IN. Fill out the #2020Census online here\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb #BeCounted \nhttps://t.co/pwYAutcKwM',CensusDay 2020Census BeCounted,7,2020.0,R
438748,5,b'TUNE IN at 5:40 PM ET for my remarks on the Senate floor to discuss my efforts to pass bipartisan legislation to #LowerHealthCareCosts during this Congress. \n\nWatch live here: https://t.co/INiDqXdK5E https://t.co/CCyQPDTCyd',LowerHealthCareCosts,2,2019.0,R
445756,1,b'Tell Claire to vote NO on the UN Arms Treaty! We need true leadership in the Senate- @ToddAkin! RT if you agree! #mosen http://t.co/LWjp77KB',mosen,5,2012.0,R
454563,4,"b'Efforts like #OpDiversion take more than collaboration, takes money. Will ask @utleg for $30m in Medicaid match. #slco #utpol #2017budget'",OpDiversion slco utpol 2017budget,1,2016.0,D
13714,3467,b'I urge my Senate colleagues to join me today in voting to support the Pain-Capable Unborn Child Protection Act. This is reasonable legislation that would minimize human suffering caused by abortion and protect the rights of all unborn children. #ProLife #TheyFeelPain https://t.co/ylCzLDhEM3',ProLife TheyFeelPain,1117,2018.0,R
344393,253,"b'""America is the place where anything can happen!  America is the place where anyone can rise.  And here, on this land, on this soil, on this continent, the most incredible dreams come true!"" #SOTU2020'",SOTU2020,84,2020.0,R
391367,1,"b""7th District constituents, what's on your mind? Please take this short survey: http://t.co/JOhykQ5tJ1 #Indy #Congress""",Indy Congress,3,2014.0,D
435979,18,"b""#HappingNow I'm co-hosting a briefing about significant disproportionality in special needs education. https://t.co/KUkqFYdwrl""",HappingNow,9,2017.0,D
280519,23,"b""Our thoughts and prayers are with all Floridians in #Irma's path. New Jersey and America are here for you.""",Irma,5,2017.0,D
304205,0,"b""RT @RepAndreCarson: I will always fight to protect our country's most reliable retirement and insurance plan -- #SocialSecurity. I am proud\xe2\x80\xa6""",SocialSecurity,21,,D
36349,0,b'MT @dcexaminer: 40%+ of 177k people covered by CareFirst in VA/MD/DC to lose health insurance plans b/c of #Obamacare http://t.co/dnAlqeKTf2',Obamacare,0,2013.0,R
519898,4,"b'#OTD 31yrs ago, Ronald McNair, @ncatsuaggies alum, as Reagan would proclaim, \xe2\x80\x9cslipped the surly bonds of earth\xe2\x80\x99\xe2\x80\x9d to \xe2\x80\x9ctouch the face of God.\xe2\x80\x9d https://t.co/LAM3YfHCn2'",OTD,1,2017.0,R
389191,180,"b'The #SCOTUS #Janus decision is an outright attack on unions, an attack on working people &amp; the causes we fight for every day. We stand with our union brothers &amp; sisters. This decision will not stop our efforts.\n#UnionProud #UnionStrong https://t.co/lVudB1Lvir'",SCOTUS Janus UnionProud UnionStrong,70,2018.0,D
562612,12,"b'Fairness &amp; equality are core American values. Proud to join my colleagues in voting to make those same values the law of the land by passing #HR5, the #EqualityAct.'",HR5 EqualityAct,3,2019.0,D
509791,12,"b""According to one estimate, Missouri has lost $44 billion from #coronavirus shutdowns, a global pandemic that happened because of China\xe2\x80\x99s deceit &amp; coverup.\n\nThis is absolutely unacceptable.\n\nI'm glad Missouri is taking the lead &amp; holding #China accountable. https://t.co/8bqTEAFHpr""",coronavirus China,3,2020.0,R
96938,33,"b'Proud to vote for this #BudgetDeal &amp; glad to see @POTUS has signed it. This fully funds our troops, providing for our military by enhancing readiness &amp; capabilities after years of devastating cuts by sequestration. https://t.co/odjWFvRBJD'",BudgetDeal,19,2018.0,R
332697,17,"b'\xe2\x9a\xa1\xef\xb8\x8fTake a look at tweets from the 3rd #MakeItInAmerica #ListeningTour with stops in the Upper Midwest. What we\xe2\x80\x99ve heard on the tour will help us develop policies on entrepreneurship, education/skills training &amp; infrastructure. https://t.co/vNAwgthe2g'",MakeItInAmerica ListeningTour,12,2018.0,D
504144,0,b'Talking with @93WIBC about real solutions #4jobs. Tune in http://t.co/s8nthN2X',4jobs,0,2011.0,R
210149,0,b'Enjoying the sunshine and good company at the Ministers &amp; Community United Inc. Annual Picnic in #Stockton http://t.co/4npycWz94C',Stockton,1,2013.0,D
267131,396,"b""SNAP is the first line of defense against hunger and food insecurity for low-income families and children. Unfortunately, @realDonaldTrump doesn't agree.  #1MillionKids""",1MillionKids,140,2019.0,D
272179,7,"b'September is #NationalPreparednessMonth. Every home, school, business and office should have a plan in case of an emergency or natural disaster. #BePrepared https://t.co/0TXepbfgNQ https://t.co/9mpUQ3QJGq'",NationalPreparednessMonth BePrepared,2,,R
420553,35,"b'Tonight\xe2\x80\x99s #SOTU address reminded us why the United States of America is the greatest country in the world to live, work, and raise a family.  When we work together to put America\xe2\x80\x99s hardworking taxpayers first, our communities benefit.'",SOTU,11,2020.0,R
